province,country,date,lat,long,confirmed,deaths,recovered,active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,Afghanistan,04-01-2021,33.93911,67.709953,52709,2221,41727,90,Afghanistan,0.806610279,4.252222179
,Albania,04-01-2021,41.1533,20.1683,59438,1193,34648,23597,Albania,2065.397178,2.007133484
,Algeria,04-01-2021,28.0339,1.6596,100408,2772,67808,29828,Algeria,228.9751694,2.760736196
,Andorra,04-01-2021,42.5063,1.5218,8192,84,7517,591,Andorra,10602.47201,1.025390625
,Angola,04-01-2021,-11.2027,17.8739,17642,408,11223,6011,Angola,53.67813589,2.312662963
,Antigua and Barbuda,04-01-2021,17.0608,-61.7964,160,5,148,7,Antigua and Barbuda,163.3853443,3.125
,Argentina,04-01-2021,-38.4161,-63.6167,1640718,43482,1452960,144276,Argentina,3630.246251,2.650181201
,Armenia,04-01-2021,40.0691,45.0382,160027,2850,144091,13086,Armenia,5400.417247,1.780949465
Australian Capital Territory,Australia,04-01-2021,-35.4735,149.0124,118,3,114,1,"Australian Capital Territory, Australia",27.56365335,2.542372881
New South Wales,Australia,04-01-2021,-33.8688,151.2093,4965,54,0,1714,"New South Wales, Australia",61.16038433,1.087613293
Northern Territory,Australia,04-01-2021,-12.4634,130.8456,81,0,70,11,"Northern Territory, Australia",32.98045603,0
Queensland,Australia,04-01-2021,-27.4698,153.0251,1260,6,1232,22,"Queensland, Australia",24.63102336,0.476190476
South Australia,Australia,04-01-2021,-34.9285,138.6007,583,4,566,13,"South Australia, Australia",33.19100484,0.686106346
Tasmania,Australia,04-01-2021,-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.69747899,5.555555556
Victoria,Australia,04-01-2021,-37.8136,144.9631,20395,820,19539,36,"Victoria, Australia",307.6215328,4.020593283
Western Australia,Australia,04-01-2021,-31.9505,115.8605,868,9,839,20,"Western Australia, Australia",32.99627461,1.036866359
,Austria,04-01-2021,47.5162,14.5501,365768,6324,338831,20613,Austria,4061.200924,1.728964808
,Azerbaijan,04-01-2021,40.1431,47.5769,220265,2733,194843,22689,Azerbaijan,2172.415409,1.240778154
,Bahamas,04-01-2021,25.025885,-78.035889,7914,175,6239,1500,Bahamas,2012.470502,2.211271165
,Bahrain,04-01-2021,26.0275,50.55,93478,352,90686,2440,Bahrain,5493.59038,0.37655919
,Bangladesh,04-01-2021,23.685,90.3563,516019,7626,460598,47795,Bangladesh,313.3286376,1.47785256
,Barbados,04-01-2021,13.1939,-59.5432,556,7,319,230,Barbados,193.4781171,1.258992806
,Belarus,04-01-2021,53.7098,27.9534,199962,1451,182630,15881,Belarus,2116.152049,0.725637871
Antwerp,Belgium,04-01-2021,51.2195,4.4024,80022,0,0,80022,"Antwerp, Belgium",4306.921581,0
Brussels,Belgium,04-01-2021,50.8503,4.3517,81719,0,0,81719,"Brussels, Belgium",6761.784034,0
East Flanders,Belgium,04-01-2021,51.0362,3.7373,65458,0,0,65458,"East Flanders, Belgium",4320.477551,0
Flemish Brabant,Belgium,04-01-2021,50.9167,4.5833,49370,0,0,49370,"Flemish Brabant, Belgium",4307.370166,0
Hainaut,Belgium,04-01-2021,50.5257,4.0621,102383,0,0,102383,"Hainaut, Belgium",7616.416997,0
Liege,Belgium,04-01-2021,50.4496,5.8492,97154,0,0,97154,"Liege, Belgium",8776.395855,0
Limburg,Belgium,04-01-2021,50.9739,5.342,29487,0,0,29487,"Limburg, Belgium",3373.613348,0
Luxembourg,Belgium,04-01-2021,50.0547,5.4677,18498,0,0,18498,"Luxembourg, Belgium",6498.780908,0
Namur,Belgium,04-01-2021,50.331,4.8221,35520,0,0,35520,"Namur, Belgium",7185.556061,0
Unknown,Belgium,04-01-2021,,,10737,19701,0,-8964,"Unknown, Belgium",,183.4870075
Walloon Brabant,Belgium,04-01-2021,50.4,4.35,25197,0,0,25197,"Walloon Brabant, Belgium",6243.077907,0
West Flanders,Belgium,04-01-2021,51.0536,3.1458,54466,0,0,54466,"West Flanders, Belgium",4554.790282,0
,Belize,04-01-2021,17.1899,-88.4976,10901,250,9994,657,Belize,2741.555401,2.293367581
,Benin,04-01-2021,9.3077,2.3158,3251,44,3061,146,Benin,26.81635654,1.353429714
,Bhutan,04-01-2021,27.5142,90.4336,716,0,450,266,Bhutan,92.79275076,0
,Bolivia,04-01-2021,-16.2902,-63.5887,162661,9201,133247,20213,Bolivia,1393.47722,5.656549511
,Bosnia and Herzegovina,04-01-2021,43.9159,17.6791,112645,4131,77891,30623,Bosnia and Herzegovina,3433.445653,3.667273292
,Botswana,04-01-2021,-22.3285,24.6849,14805,42,12136,2627,Botswana,629.5646627,0.283687943
Acre,Brazil,04-01-2021,-9.0238,-70.812,42046,802,33693,7551,"Acre, Brazil",4767.471526,1.907434714
Alagoas,Brazil,04-01-2021,-9.5713,-36.782,105714,2509,100967,2238,"Alagoas, Brazil",3167.596394,2.373384793
Amapa,Brazil,04-01-2021,0.902,-52.003,68568,927,52777,14864,"Amapa, Brazil",8107.542469,1.351942597
Amazonas,Brazil,04-01-2021,-3.4168,-65.8561,202413,5345,172310,24758,"Amazonas, Brazil",4883.780015,2.64064067
Bahia,Brazil,04-01-2021,-12.5797,-41.7007,496008,9218,482039,4751,"Bahia, Brazil",3334.94161,1.858437767
Ceara,Brazil,04-01-2021,-5.4984,-39.3206,336763,10024,270790,55949,"Ceara, Brazil",3687.692987,2.97657403
Distrito Federal,Brazil,04-01-2021,-15.7998,-47.8645,253355,4269,243470,5616,"Distrito Federal, Brazil",8402.404032,1.684987468
Espirito Santo,Brazil,04-01-2021,-19.1834,-40.3089,251643,5122,229191,17330,"Espirito Santo, Brazil",6261.878989,2.035423199
Goias,Brazil,04-01-2021,-15.827,-49.8362,309341,6805,299025,3511,"Goias, Brazil",4407.600415,2.19983772
Maranhao,Brazil,04-01-2021,-4.9609,-45.2744,201017,4518,190889,5610,"Maranhao, Brazil",2841.156997,2.247571101
Mato Grosso,Brazil,04-01-2021,-12.6819,-56.9211,180380,4488,171057,4835,"Mato Grosso, Brazil",5176.689915,2.488080718
Mato Grosso do Sul,Brazil,04-01-2021,-20.7722,-54.7852,135917,2372,120550,12995,"Mato Grosso do Sul, Brazil",4890.884661,1.745182722
Minas Gerais,Brazil,04-01-2021,-18.5122,-44.555,550672,12037,496827,41808,"Minas Gerais, Brazil",2601.338924,2.185874713
Para,Brazil,04-01-2021,-1.9981,-54.9306,294010,7217,276598,10195,"Para, Brazil",3417.582398,2.454678412
Paraiba,Brazil,04-01-2021,-7.24,-36.782,168044,3706,127564,36774,"Paraiba, Brazil",4182.147553,2.205374783
Parana,Brazil,04-01-2021,-25.2521,-52.0215,421315,8028,306796,106491,"Parana, Brazil",3684.769848,1.905462659
Pernambuco,Brazil,04-01-2021,-8.8137,-36.9541,223540,9679,189942,23919,"Pernambuco, Brazil",2339.001144,4.329873848
Piaui,Brazil,04-01-2021,-7.7183,-42.7289,143489,2854,140229,406,"Piaui, Brazil",4383.716742,1.989002641
Rio Grande do Norte,Brazil,04-01-2021,-5.4026,-36.9541,119079,3000,68394,47685,"Rio Grande do Norte, Brazil",3395.608541,2.519335903
Rio Grande do Sul,Brazil,04-01-2021,-30.0346,-51.2177,454757,8954,432038,13765,"Rio Grande do Sul, Brazil",3997.076971,1.968963644
Rio de Janeiro,Brazil,04-01-2021,-22.9068,-43.1729,435739,25616,406061,4062,"Rio de Janeiro, Brazil",2523.836887,5.878748517
Rondonia,Brazil,04-01-2021,-11.5057,-63.5806,96906,1832,81914,13160,"Rondonia, Brazil",5452.657936,1.890491817
Roraima,Brazil,04-01-2021,-2.7376,-62.0751,68875,787,65405,2683,"Roraima, Brazil",11369.99576,1.142649728
Santa Catarina,Brazil,04-01-2021,-27.2423,-50.2189,497345,5314,469769,22262,"Santa Catarina, Brazil",6941.517321,1.068473595
Sao Paulo,Brazil,04-01-2021,-23.5505,-46.6333,1471422,46845,1294620,129957,"Sao Paulo, Brazil",3204.382565,3.183654995
